Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
17243,53415,CrossOpenBasicOnly,0,failure,insight,correct,APPLY_IS,,
53415,79352,CrossOpenBasicOnly,1,failure,insight,correct,CROSS_OUT,,
79352,79352,CrossOpenBasicOnly,2,failure,insight,correct,CROSS_OUT,,
79352,32693,CrossOpenBasicOnly,3,failure,insight,correct,APPLY_BEFORE_N_SPOTS,,
32693,47053,CrossOpenBasicOnly,4,failure,insight,correct,CROSS_OUT,,
47053,99702,CrossOpenBasicOnly,5,failure,insight,correct,APPLY_OR,,
99702,65490,CrossOpenBasicOnly,6,failure,insight,correct,CROSS_OUT,,
65490,65490,CrossOpenBasicOnly,7,failure,insight,correct,CROSS_OUT,,
65490,42260,CrossOpenBasicOnly,8,failure,insight,correct,OPENING,,
42260,65490,CrossOpenBasicOnly,9,failure,insight,correct,CROSS_OUT,,
65490,20973,CrossOpenBasicOnly,10,failure,,,,,
91421,29268,CrossOpenBasicOnly,0,failure,unknown-correct,correct,,,
29268,78558,CrossOpenBasicOnly,1,failure,unknown-incorrect,incorrect,,,
78558,27863,CrossOpenBasicOnly,2,failure,insight,incorrect,APPLY_OR,,
27863,18133,CrossOpenBasicOnly,3,failure,insight,correct,CROSS_OUT,,
18133,83173,CrossOpenBasicOnly,4,failure,insight,incorrect,APPLY_BEFORE_ONE_SPOT,,
83173,37129,CrossOpenBasicOnly,5,failure,insight,incorrect,CROSS_OUT,,
37129,37129,CrossOpenBasicOnly,6,failure,insight,incorrect,CROSS_OUT,,
37129,59034,CrossOpenBasicOnly,7,failure,insight,incorrect,OPENING,,
59034,37129,CrossOpenBasicOnly,8,failure,insight,correct,CROSS_OUT,,
37129,59034,CrossOpenBasicOnly,9,failure,insight,incorrect,OPENING,,
59034,37129,CrossOpenBasicOnly,10,failure,insight,incorrect,CROSS_OUT,,
37129,54474,CrossOpenBasicOnly,11,failure,,,,,
15880,15727,CrossOpenBasicOnly,0,failure,insight,correct,APPLY_IS,,
15727,77135,CrossOpenBasicOnly,1,failure,insight,correct,CROSS_OUT,,
77135,85860,CrossOpenBasicOnly,2,failure,insight,correct,APPLY_BEFORE_UNDEFINED_SPOTS,,
85860,14016,CrossOpenBasicOnly,3,failure,insight,correct,CROSS_OUT,,
14016,14016,CrossOpenBasicOnly,4,failure,insight,correct,CROSS_OUT,,
14016,68693,CrossOpenBasicOnly,5,failure,insight,correct,OPENING,,
68693,14016,CrossOpenBasicOnly,6,failure,insight,correct,CROSS_OUT,,
14016,14016,CrossOpenBasicOnly,7,failure,insight,correct,CROSS_OUT,,
14016,14016,CrossOpenBasicOnly,8,failure,insight,correct,CROSS_OUT,,
14016,82832,CrossOpenBasicOnly,9,failure,insight,correct,OPENING,,
82832,24115,CrossOpenBasicOnly,10,failure,,,,,
48835,71157,CrossOpenBasicOnly,0,failure,insight,correct,APPLY_IS,,
71157,82195,CrossOpenBasicOnly,1,failure,insight,correct,CROSS_OUT,,
82195,34207,CrossOpenBasicOnly,2,failure,insight,correct,APPLY_BEFORE_UNDEFINED_SPOTS,,
34207,59511,CrossOpenBasicOnly,3,failure,insight,correct,CROSS_OUT,,
59511,59511,CrossOpenBasicOnly,4,failure,insight,correct,CROSS_OUT,,
59511,81032,CrossOpenBasicOnly,5,failure,insight,correct,OPENING,,
81032,59511,CrossOpenBasicOnly,6,failure,insight,correct,CROSS_OUT,,
59511,59511,CrossOpenBasicOnly,7,failure,insight,correct,CROSS_OUT,,
59511,37997,CrossOpenBasicOnly,8,failure,insight,correct,OPENING,,
37997,59511,CrossOpenBasicOnly,9,failure,insight,correct,CROSS_OUT,,
59511,77748,CrossOpenBasicOnly,10,failure,,,,,
79399,62313,CrossOpenBasicOnly,0,failure,insight,correct,APPLY_IS,,
62313,35445,CrossOpenBasicOnly,1,failure,insight,correct,CROSS_OUT,,
35445,35445,CrossOpenBasicOnly,2,failure,insight,correct,CROSS_OUT,,
35445,34886,CrossOpenBasicOnly,3,failure,unknown-correct,correct,,,
34886,20376,CrossOpenBasicOnly,4,failure,insight,correct,OPENING,,
20376,35445,CrossOpenBasicOnly,5,failure,insight,correct,CROSS_OUT,,
35445,35445,CrossOpenBasicOnly,6,failure,insight,correct,CROSS_OUT,,
35445,20376,CrossOpenBasicOnly,7,failure,insight,correct,OPENING,,
20376,35445,CrossOpenBasicOnly,8,failure,insight,correct,CROSS_OUT,,
35445,35445,CrossOpenBasicOnly,9,failure,insight,correct,CROSS_OUT,,
35445,65651,CrossOpenBasicOnly,10,failure,insight,correct,OPENING,,
65651,27612,CrossOpenBasicOnly,11,failure,,,,,
90560,62795,CrossOpenBasicOnly,0,failure,insight,correct,APPLY_IS,,
62795,12877,CrossOpenBasicOnly,1,failure,insight,correct,CROSS_OUT,,
12877,12877,CrossOpenBasicOnly,2,failure,insight,correct,CROSS_OUT,,
12877,81643,CrossOpenBasicOnly,3,failure,insight,correct,APPLY_OR,,
81643,32633,CrossOpenBasicOnly,4,failure,insight,correct,CROSS_OUT,,
32633,96775,CrossOpenBasicOnly,5,failure,insight,correct,OPENING,,
96775,32633,CrossOpenBasicOnly,6,failure,insight,correct,CROSS_OUT,,
32633,40822,CrossOpenBasicOnly,7,failure,insight,correct,OPENING,,
40822,32633,CrossOpenBasicOnly,8,failure,insight,correct,CROSS_OUT,,
32633,40741,CrossOpenBasicOnly,9,failure,,,,,
98524,30150,CrossOpenBasicOnly,0,failure,insight,correct,APPLY_IS,,
30150,25396,CrossOpenBasicOnly,1,failure,insight,correct,CROSS_OUT,,
25396,25396,CrossOpenBasicOnly,2,failure,insight,correct,CROSS_OUT,,
25396,31279,CrossOpenBasicOnly,3,failure,unknown-correct,correct,,,
31279,98687,CrossOpenBasicOnly,4,failure,unknown-incorrect,incorrect,,,
98687,53418,CrossOpenBasicOnly,5,failure,insight,incorrect,CROSS_OUT,,
53418,53418,CrossOpenBasicOnly,6,failure,insight,incorrect,CROSS_OUT,,
53418,98687,CrossOpenBasicOnly,7,failure,unknown-incorrect,incorrect,,,
