Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
17612,10297,CrossOpenBasicOnly,0,failure,insight,correct,APPLY_IS,,
10297,75398,CrossOpenBasicOnly,1,failure,insight,correct,CROSS_OUT,,
75398,75398,CrossOpenBasicOnly,2,failure,insight,correct,CROSS_OUT,,
75398,31969,CrossOpenBasicOnly,3,failure,insight,correct,APPLY_BEFORE_N_SPOTS,,
31969,54585,CrossOpenBasicOnly,4,failure,insight,correct,CROSS_OUT,,
54585,78062,CrossOpenBasicOnly,5,failure,insight,correct,APPLY_OR,,
78062,22834,CrossOpenBasicOnly,6,failure,insight,correct,CROSS_OUT,,
22834,22834,CrossOpenBasicOnly,7,failure,insight,correct,CROSS_OUT,,
22834,11149,CrossOpenBasicOnly,8,failure,insight,correct,OPENING,,
11149,22834,CrossOpenBasicOnly,9,failure,insight,correct,CROSS_OUT,,
22834,57057,CrossOpenBasicOnly,10,failure,,,,,
96556,56187,CrossOpenBasicOnly,0,failure,unknown-correct,correct,,,
56187,19474,CrossOpenBasicOnly,1,failure,unknown-incorrect,incorrect,,,
19474,81040,CrossOpenBasicOnly,2,failure,insight,incorrect,APPLY_OR,,
81040,79608,CrossOpenBasicOnly,3,failure,insight,correct,CROSS_OUT,,
79608,33915,CrossOpenBasicOnly,4,failure,insight,incorrect,APPLY_BEFORE_ONE_SPOT,,
33915,76813,CrossOpenBasicOnly,5,failure,insight,incorrect,CROSS_OUT,,
76813,76813,CrossOpenBasicOnly,6,failure,insight,incorrect,CROSS_OUT,,
76813,37518,CrossOpenBasicOnly,7,failure,insight,incorrect,OPENING,,
37518,76813,CrossOpenBasicOnly,8,failure,insight,correct,CROSS_OUT,,
76813,37518,CrossOpenBasicOnly,9,failure,insight,incorrect,OPENING,,
37518,76813,CrossOpenBasicOnly,10,failure,insight,incorrect,CROSS_OUT,,
76813,60663,CrossOpenBasicOnly,11,failure,,,,,
33366,15241,CrossOpenBasicOnly,0,failure,insight,correct,APPLY_IS,,
15241,47871,CrossOpenBasicOnly,1,failure,insight,correct,CROSS_OUT,,
47871,52011,CrossOpenBasicOnly,2,failure,insight,correct,APPLY_BEFORE_UNDEFINED_SPOTS,,
52011,18997,CrossOpenBasicOnly,3,failure,insight,correct,CROSS_OUT,,
18997,18997,CrossOpenBasicOnly,4,failure,insight,correct,CROSS_OUT,,
18997,68481,CrossOpenBasicOnly,5,failure,insight,correct,OPENING,,
68481,18997,CrossOpenBasicOnly,6,failure,insight,correct,CROSS_OUT,,
18997,18997,CrossOpenBasicOnly,7,failure,insight,correct,CROSS_OUT,,
18997,18997,CrossOpenBasicOnly,8,failure,insight,correct,CROSS_OUT,,
18997,27425,CrossOpenBasicOnly,9,failure,insight,correct,OPENING,,
27425,65542,CrossOpenBasicOnly,10,failure,,,,,
86578,51154,CrossOpenBasicOnly,0,failure,insight,correct,APPLY_IS,,
51154,77355,CrossOpenBasicOnly,1,failure,insight,correct,CROSS_OUT,,
77355,85925,CrossOpenBasicOnly,2,failure,insight,correct,APPLY_BEFORE_UNDEFINED_SPOTS,,
85925,78684,CrossOpenBasicOnly,3,failure,insight,correct,CROSS_OUT,,
78684,78684,CrossOpenBasicOnly,4,failure,insight,correct,CROSS_OUT,,
78684,10872,CrossOpenBasicOnly,5,failure,insight,correct,OPENING,,
10872,78684,CrossOpenBasicOnly,6,failure,insight,correct,CROSS_OUT,,
78684,78684,CrossOpenBasicOnly,7,failure,insight,correct,CROSS_OUT,,
78684,81671,CrossOpenBasicOnly,8,failure,insight,correct,OPENING,,
