Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
54921,86363,CrossOpenBasicOnly_0,0,success,insight,correct,APPLY_NOT,,
86363,39049,CrossOpenBasicOnly_0,1,success,insight,correct,APPLY_IS,,
39049,37056,CrossOpenBasicOnly_0,2,success,insight,correct,CROSS_OUT,,
37056,37056,CrossOpenBasicOnly_0,3,success,insight,correct,CROSS_OUT,,
37056,43323,CrossOpenBasicOnly_0,4,success,insight,correct,APPLY_OR,,
43323,23975,CrossOpenBasicOnly_0,5,success,insight,correct,CROSS_OUT,,
23975,23975,CrossOpenBasicOnly_0,6,success,insight,correct,CROSS_OUT,,
23975,23975,CrossOpenBasicOnly_0,7,success,insight,correct,CROSS_OUT,,
23975,23975,CrossOpenBasicOnly_0,8,success,insight,correct,CROSS_OUT,,
23975,23975,CrossOpenBasicOnly_0,9,success,insight,correct,CROSS_OUT,,
23975,38315,CrossOpenBasicOnly_0,10,success,,,,,
73181,32507,CrossOpenBasicOnly_0,0,success,insight,correct,APPLY_IS,,
32507,93123,CrossOpenBasicOnly_0,1,success,insight,correct,CROSS_OUT,,
93123,91365,CrossOpenBasicOnly_0,2,success,insight,correct,APPLY_OR,,
91365,27457,CrossOpenBasicOnly_0,3,success,insight,correct,CROSS_OUT,,
27457,27457,CrossOpenBasicOnly_0,4,success,insight,correct,CROSS_OUT,,
27457,27457,CrossOpenBasicOnly_0,5,success,insight,correct,CROSS_OUT,,
27457,90527,CrossOpenBasicOnly_0,6,success,insight,correct,APPLY_NOT,,
90527,91613,CrossOpenBasicOnly_0,7,success,insight,correct,OPENING,,
91613,12452,CrossOpenBasicOnly_0,8,success,insight,correct,CROSS_OUT,,
12452,12452,CrossOpenBasicOnly_0,9,success,insight,correct,CROSS_OUT,,
12452,28511,CrossOpenBasicOnly_0,10,success,,,,,
23144,94478,CrossOpenBasicOnly_0,0,success,insight,correct,APPLY_IS,,
94478,18432,CrossOpenBasicOnly_0,1,success,insight,correct,CROSS_OUT,,
18432,84435,CrossOpenBasicOnly_0,2,success,insight,correct,APPLY_NOT,,
84435,55046,CrossOpenBasicOnly_0,3,success,insight,correct,CROSS_OUT,,
55046,16155,CrossOpenBasicOnly_0,4,success,insight,correct,APPLY_OR,,
16155,81180,CrossOpenBasicOnly_0,5,success,insight,correct,CROSS_OUT,,
81180,81180,CrossOpenBasicOnly_0,6,success,insight,correct,CROSS_OUT,,
81180,88891,CrossOpenBasicOnly_0,7,success,insight,correct,OPENING,,
88891,81180,CrossOpenBasicOnly_0,8,success,insight,correct,CROSS_OUT,,
81180,81180,CrossOpenBasicOnly_0,9,success,insight,correct,CROSS_OUT,,
81180,47157,CrossOpenBasicOnly_0,10,success,,,,,
