Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
29308,87365,CrossOpenOnly_0,0,failure,unknown-correct,correct,,,
87365,17059,CrossOpenOnly_0,1,failure,unknown-incorrect,incorrect,,,
17059,20722,CrossOpenOnly_0,2,failure,insight,incorrect,CROSS_OUT,,
20722,20722,CrossOpenOnly_0,3,failure,insight,incorrect,CROSS_OUT,,
20722,17059,CrossOpenOnly_0,4,failure,unknown-correct,correct,,,
17059,17059,CrossOpenOnly_0,5,failure,unknown-correct,correct,,,
17059,70009,CrossOpenOnly_0,6,failure,insight,correct,OPENING,,
70009,20722,CrossOpenOnly_0,7,failure,insight,correct,CROSS_OUT,,
20722,17059,CrossOpenOnly_0,8,failure,unknown-correct,correct,,,
17059,70009,CrossOpenOnly_0,9,failure,insight,incorrect,OPENING,,
70009,20722,CrossOpenOnly_0,10,failure,insight,incorrect,CROSS_OUT,,
20722,20722,CrossOpenOnly_0,11,failure,insight,incorrect,CROSS_OUT,,
20722,49758,CrossOpenOnly_0,12,failure,,,,,
58426,91119,CrossOpenOnly_0,0,failure,unknown-correct,correct,,,
91119,42784,CrossOpenOnly_0,1,failure,unknown-incorrect,incorrect,,,
42784,14423,CrossOpenOnly_0,2,failure,insight,incorrect,CROSS_OUT,,
14423,14423,CrossOpenOnly_0,3,failure,insight,incorrect,CROSS_OUT,,
14423,42784,CrossOpenOnly_0,4,failure,unknown-incorrect,incorrect,,,
42784,42784,CrossOpenOnly_0,5,failure,unknown-correct,correct,,,
42784,88411,CrossOpenOnly_0,6,failure,insight,incorrect,OPENING,,
88411,14423,CrossOpenOnly_0,7,failure,insight,incorrect,CROSS_OUT,,
14423,42784,CrossOpenOnly_0,8,failure,unknown-correct,correct,,,
42784,88411,CrossOpenOnly_0,9,failure,insight,incorrect,OPENING,,
88411,14423,CrossOpenOnly_0,10,failure,insight,incorrect,CROSS_OUT,,
14423,14423,CrossOpenOnly_0,11,failure,insight,correct,CROSS_OUT,,
14423,17266,CrossOpenOnly_0,12,failure,,,,,
52543,49007,CrossOpenOnly_0,0,failure,unknown-correct,correct,,,
49007,49007,CrossOpenOnly_0,1,failure,unknown-correct,correct,,,
49007,49007,CrossOpenOnly_0,2,failure,unknown-correct,correct,,,
49007,33438,CrossOpenOnly_0,3,failure,insight,correct,APPLY_NOT,,
