Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
17372,16957,CrossOpenOnly_0,0,failure,unknown-correct,correct,,,
16957,69986,CrossOpenOnly_0,1,failure,unknown-incorrect,incorrect,,,
69986,94873,CrossOpenOnly_0,2,failure,insight,incorrect,CROSS_OUT,,
94873,94873,CrossOpenOnly_0,3,failure,insight,incorrect,CROSS_OUT,,
94873,69986,CrossOpenOnly_0,4,failure,unknown-correct,correct,,,
69986,69986,CrossOpenOnly_0,5,failure,unknown-correct,correct,,,
69986,82459,CrossOpenOnly_0,6,failure,insight,correct,OPENING,,
82459,94873,CrossOpenOnly_0,7,failure,insight,correct,CROSS_OUT,,
94873,69986,CrossOpenOnly_0,8,failure,unknown-correct,correct,,,
69986,82459,CrossOpenOnly_0,9,failure,insight,incorrect,OPENING,,
82459,94873,CrossOpenOnly_0,10,failure,insight,incorrect,CROSS_OUT,,
94873,94873,CrossOpenOnly_0,11,failure,insight,incorrect,CROSS_OUT,,
94873,77991,CrossOpenOnly_0,12,failure,,,,,
75794,54779,CrossOpenOnly_0,0,failure,unknown-correct,correct,,,
54779,23643,CrossOpenOnly_0,1,failure,unknown-incorrect,incorrect,,,
23643,96105,CrossOpenOnly_0,2,failure,insight,incorrect,CROSS_OUT,,
96105,96105,CrossOpenOnly_0,3,failure,insight,incorrect,CROSS_OUT,,
96105,23643,CrossOpenOnly_0,4,failure,unknown-incorrect,incorrect,,,
23643,23643,CrossOpenOnly_0,5,failure,unknown-correct,correct,,,
23643,77931,CrossOpenOnly_0,6,failure,insight,incorrect,OPENING,,
77931,96105,CrossOpenOnly_0,7,failure,insight,incorrect,CROSS_OUT,,
96105,23643,CrossOpenOnly_0,8,failure,unknown-correct,correct,,,
23643,77931,CrossOpenOnly_0,9,failure,insight,incorrect,OPENING,,
77931,96105,CrossOpenOnly_0,10,failure,insight,incorrect,CROSS_OUT,,
96105,96105,CrossOpenOnly_0,11,failure,insight,correct,CROSS_OUT,,
