Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
11205,94640,GridRulesBasicOnly_0,0,success,insight,correct,APPLY_NOT,,
94640,89442,GridRulesBasicOnly_0,1,success,insight,correct,APPLY_IS,,
89442,67989,GridRulesBasicOnly_0,2,success,insight,correct,CROSS_OUT,,
67989,67989,GridRulesBasicOnly_0,3,success,insight,correct,CROSS_OUT,,
67989,66613,GridRulesBasicOnly_0,4,success,insight,correct,APPLY_OR,,
66613,16694,GridRulesBasicOnly_0,5,success,insight,correct,CROSS_OUT,,
16694,16694,GridRulesBasicOnly_0,6,success,insight,correct,CROSS_OUT,,
16694,47313,GridRulesBasicOnly_0,7,success,insight,correct,OPENING,,
47313,16694,GridRulesBasicOnly_0,8,success,insight,correct,CROSS_OUT,,
16694,47313,GridRulesBasicOnly_0,9,success,insight,correct,OPENING,,
47313,25367,GridRulesBasicOnly_0,10,success,,,,,
32378,32334,GridRulesBasicOnly_0,0,success,insight,correct,APPLY_IS,,
32334,34252,GridRulesBasicOnly_0,1,success,insight,correct,CROSS_OUT,,
34252,34252,GridRulesBasicOnly_0,2,success,insight,correct,CROSS_OUT,,
34252,40362,GridRulesBasicOnly_0,3,success,insight,correct,APPLY_OR,,
40362,35711,GridRulesBasicOnly_0,4,success,insight,correct,CROSS_OUT,,
35711,35711,GridRulesBasicOnly_0,5,success,insight,correct,CROSS_OUT,,
35711,77701,GridRulesBasicOnly_0,6,success,insight,correct,APPLY_NOT,,
77701,67721,GridRulesBasicOnly_0,7,success,insight,correct,OPENING,,
67721,71280,GridRulesBasicOnly_0,8,success,insight,correct,CROSS_OUT,,
71280,71280,GridRulesBasicOnly_0,9,success,insight,correct,CROSS_OUT,,
71280,79660,GridRulesBasicOnly_0,10,success,,,,,
87154,13147,GridRulesBasicOnly_0,0,success,insight,correct,APPLY_NOT,,
13147,84969,GridRulesBasicOnly_0,1,success,insight,correct,APPLY_IS,,
84969,56653,GridRulesBasicOnly_0,2,success,insight,correct,CROSS_OUT,,
56653,56653,GridRulesBasicOnly_0,3,success,insight,correct,CROSS_OUT,,
56653,74206,GridRulesBasicOnly_0,4,success,insight,correct,APPLY_OR,,
74206,93318,GridRulesBasicOnly_0,5,success,insight,correct,CROSS_OUT,,
93318,93318,GridRulesBasicOnly_0,6,success,insight,correct,CROSS_OUT,,
93318,22538,GridRulesBasicOnly_0,7,success,insight,correct,OPENING,,
22538,93318,GridRulesBasicOnly_0,8,success,insight,correct,CROSS_OUT,,
93318,22538,GridRulesBasicOnly_0,9,success,insight,correct,OPENING,,
22538,69099,GridRulesBasicOnly_0,10,success,,,,,
12454,15391,GridRulesBasicOnly_0,0,failure,unknown-incorrect,incorrect,,,
