Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
65996,96278,GridRulesBasicOnly_0,0,success,insight,correct,APPLY_NOT,,
96278,40978,GridRulesBasicOnly_0,1,success,insight,correct,APPLY_IS,,
40978,89468,GridRulesBasicOnly_0,2,success,insight,correct,CROSS_OUT,,
89468,89468,GridRulesBasicOnly_0,3,success,insight,correct,CROSS_OUT,,
89468,72134,GridRulesBasicOnly_0,4,success,insight,correct,APPLY_OR,,
72134,29845,GridRulesBasicOnly_0,5,success,insight,correct,CROSS_OUT,,
29845,29845,GridRulesBasicOnly_0,6,success,insight,correct,CROSS_OUT,,
29845,17063,GridRulesBasicOnly_0,7,success,insight,correct,OPENING,,
17063,29845,GridRulesBasicOnly_0,8,success,insight,correct,CROSS_OUT,,
29845,17063,GridRulesBasicOnly_0,9,success,insight,correct,OPENING,,
17063,78698,GridRulesBasicOnly_0,10,success,,,,,
69084,10727,GridRulesBasicOnly_0,0,success,insight,correct,APPLY_IS,,
10727,59274,GridRulesBasicOnly_0,1,success,insight,correct,CROSS_OUT,,
59274,59274,GridRulesBasicOnly_0,2,success,insight,correct,CROSS_OUT,,
59274,39904,GridRulesBasicOnly_0,3,success,insight,correct,APPLY_OR,,
39904,67634,GridRulesBasicOnly_0,4,success,insight,correct,CROSS_OUT,,
67634,67634,GridRulesBasicOnly_0,5,success,insight,correct,CROSS_OUT,,
67634,92407,GridRulesBasicOnly_0,6,success,insight,correct,APPLY_NOT,,
92407,67301,GridRulesBasicOnly_0,7,success,insight,correct,OPENING,,
67301,43932,GridRulesBasicOnly_0,8,success,insight,correct,CROSS_OUT,,
43932,43932,GridRulesBasicOnly_0,9,success,insight,correct,CROSS_OUT,,
43932,47169,GridRulesBasicOnly_0,10,success,,,,,
94403,58338,GridRulesBasicOnly_0,0,success,insight,correct,APPLY_NOT,,
58338,22608,GridRulesBasicOnly_0,1,success,insight,correct,APPLY_IS,,
22608,56926,GridRulesBasicOnly_0,2,success,insight,correct,CROSS_OUT,,
56926,56926,GridRulesBasicOnly_0,3,success,insight,correct,CROSS_OUT,,
56926,71313,GridRulesBasicOnly_0,4,success,insight,correct,APPLY_OR,,
71313,42121,GridRulesBasicOnly_0,5,success,insight,correct,CROSS_OUT,,
42121,42121,GridRulesBasicOnly_0,6,success,insight,correct,CROSS_OUT,,
42121,64708,GridRulesBasicOnly_0,7,success,insight,correct,OPENING,,
64708,42121,GridRulesBasicOnly_0,8,success,insight,correct,CROSS_OUT,,
42121,64708,GridRulesBasicOnly_0,9,success,insight,correct,OPENING,,
64708,44833,GridRulesBasicOnly_0,10,success,,,,,
90591,57352,GridRulesBasicOnly_0,0,failure,unknown-incorrect,incorrect,,,
57352,42466,GridRulesBasicOnly_0,1,failure,insight,incorrect,CROSS_OUT,,
42466,44585,GridRulesBasicOnly_0,2,failure,insight,incorrect,APPLY_OR,,
44585,67260,GridRulesBasicOnly_0,3,failure,insight,correct,CROSS_OUT,,
67260,67260,GridRulesBasicOnly_0,4,failure,insight,incorrect,CROSS_OUT,,
67260,67260,GridRulesBasicOnly_0,5,failure,insight,incorrect,CROSS_OUT,,
67260,73733,GridRulesBasicOnly_0,6,failure,insight,correct,APPLY_OR,,
73733,82331,GridRulesBasicOnly_0,7,failure,insight,incorrect,APPLY_OR,,
82331,33174,GridRulesBasicOnly_0,8,failure,insight,incorrect,CROSS_OUT,,
33174,79486,GridRulesBasicOnly_0,9,failure,insight,incorrect,OPENING,,
79486,33174,GridRulesBasicOnly_0,10,failure,insight,correct,CROSS_OUT,,
33174,99200,GridRulesBasicOnly_0,11,failure,,,,,
54114,46440,GridRulesBasicOnly_0,0,success,insight,correct,APPLY_IS,,
46440,81648,GridRulesBasicOnly_0,1,success,insight,correct,CROSS_OUT,,
81648,81648,GridRulesBasicOnly_0,2,success,insight,correct,CROSS_OUT,,
81648,70034,GridRulesBasicOnly_0,3,success,insight,correct,APPLY_OR,,
70034,84059,GridRulesBasicOnly_0,4,success,insight,correct,CROSS_OUT,,
84059,84059,GridRulesBasicOnly_0,5,success,insight,correct,CROSS_OUT,,
84059,13811,GridRulesBasicOnly_0,6,success,insight,correct,APPLY_OR,,
13811,18133,GridRulesBasicOnly_0,7,success,insight,correct,CROSS_OUT,,
18133,18133,GridRulesBasicOnly_0,8,success,insight,correct,CROSS_OUT,,
18133,18133,GridRulesBasicOnly_0,9,success,insight,correct,CROSS_OUT,,
18133,85186,GridRulesBasicOnly_0,10,success,,,,,
83135,51046,GridRulesBasicOnly_0,0,success,insight,correct,APPLY_IS,,
51046,38063,GridRulesBasicOnly_0,1,success,insight,correct,CROSS_OUT,,
38063,98081,GridRulesBasicOnly_0,2,success,insight,correct,APPLY_OR,,
98081,24160,GridRulesBasicOnly_0,3,success,insight,correct,CROSS_OUT,,
24160,24160,GridRulesBasicOnly_0,4,success,insight,correct,CROSS_OUT,,
24160,24160,GridRulesBasicOnly_0,5,success,insight,correct,CROSS_OUT,,
24160,84800,GridRulesBasicOnly_0,6,success,insight,correct,APPLY_OR,,
84800,69013,GridRulesBasicOnly_0,7,success,insight,correct,CROSS_OUT,,
69013,69013,GridRulesBasicOnly_0,8,success,insight,correct,CROSS_OUT,,
69013,69013,GridRulesBasicOnly_0,9,success,insight,correct,CROSS_OUT,,
69013,94655,GridRulesBasicOnly_0,10,success,,,,,
21340,20448,GridRulesBasicOnly_0,0,failure,insight,correct,APPLY_IS,,
20448,27184,GridRulesBasicOnly_0,1,failure,insight,correct,CROSS_OUT,,
27184,27184,GridRulesBasicOnly_0,2,failure,insight,correct,CROSS_OUT,,
27184,43284,GridRulesBasicOnly_0,3,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
43284,48876,GridRulesBasicOnly_0,4,failure,unknown-correct,correct,,,
48876,48876,GridRulesBasicOnly_0,5,failure,unknown-correct,correct,,,
48876,57992,GridRulesBasicOnly_0,6,failure,insight,correct,APPLY_OR,,
57992,68435,GridRulesBasicOnly_0,7,failure,insight,correct,CROSS_OUT,,
68435,68435,GridRulesBasicOnly_0,8,failure,insight,correct,CROSS_OUT,,
68435,37903,GridRulesBasicOnly_0,9,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
37903,67766,GridRulesBasicOnly_0,10,failure,unknown-correct,correct,,,
67766,67766,GridRulesBasicOnly_0,11,failure,unknown-correct,correct,,,
67766,67766,GridRulesBasicOnly_0,12,failure,unknown-correct,correct,,,
67766,35164,GridRulesBasicOnly_0,13,failure,unknown-incorrect,incorrect,,,
35164,29357,GridRulesBasicOnly_0,14,failure,insight,incorrect,OPENING,,
29357,41425,GridRulesBasicOnly_0,15,failure,insight,incorrect,CROSS_OUT,,
41425,41425,GridRulesBasicOnly_0,16,failure,insight,incorrect,CROSS_OUT,,
41425,41425,GridRulesBasicOnly_0,17,failure,insight,incorrect,CROSS_OUT,,
41425,12501,GridRulesBasicOnly_0,18,failure,insight,incorrect,TRANS_ABC_TRUE,,
12501,81288,GridRulesBasicOnly_0,19,failure,insight,incorrect,CROSS_OUT,,
81288,81288,GridRulesBasicOnly_0,20,failure,insight,incorrect,CROSS_OUT,,
81288,43607,GridRulesBasicOnly_0,21,failure,insight,incorrect,APPLY_BEFORE_ONE_SPOT,,
43607,49912,GridRulesBasicOnly_0,22,failure,insight,incorrect,CROSS_OUT,,
49912,49912,GridRulesBasicOnly_0,23,failure,insight,correct,CROSS_OUT,,
49912,43607,GridRulesBasicOnly_0,24,failure,insight,correct,TRANS_ABC_TRUE,,
43607,49912,GridRulesBasicOnly_0,25,failure,insight,incorrect,CROSS_OUT,,
49912,49912,GridRulesBasicOnly_0,26,failure,insight,correct,CROSS_OUT,,
49912,24205,GridRulesBasicOnly_0,27,failure,insight,correct,APPLY_OR,,
24205,41466,GridRulesBasicOnly_0,28,failure,insight,incorrect,CROSS_OUT,,
41466,41466,GridRulesBasicOnly_0,29,failure,insight,correct,CROSS_OUT,,
41466,41466,GridRulesBasicOnly_0,30,failure,insight,correct,CROSS_OUT,,
41466,41466,GridRulesBasicOnly_0,31,failure,insight,correct,CROSS_OUT,,
41466,30560,GridRulesBasicOnly_0,32,failure,insight,correct,OPENING,,
30560,11019,GridRulesBasicOnly_0,33,failure,insight,correct,BEFORE_NOINFO,,
11019,11911,GridRulesBasicOnly_0,34,failure,insight,incorrect,CROSS_OUT,,
11911,11019,GridRulesBasicOnly_0,35,failure,insight,correct,APPLY_OR,,
11019,11911,GridRulesBasicOnly_0,36,failure,insight,correct,CROSS_OUT,,
11911,11911,GridRulesBasicOnly_0,37,failure,insight,correct,CROSS_OUT,,
11911,80895,GridRulesBasicOnly_0,38,failure,,,,,
32249,32020,GridRulesBasicOnly_0,0,success,insight,correct,APPLY_IS,,
32020,36713,GridRulesBasicOnly_0,1,success,insight,correct,APPLY_IS,,
36713,84017,GridRulesBasicOnly_0,2,success,insight,correct,CROSS_OUT,,
84017,84017,GridRulesBasicOnly_0,3,success,insight,correct,CROSS_OUT,,
84017,84017,GridRulesBasicOnly_0,4,success,insight,correct,CROSS_OUT,,
84017,84017,GridRulesBasicOnly_0,5,success,insight,correct,CROSS_OUT,,
84017,11568,GridRulesBasicOnly_0,6,success,insight,correct,APPLY_IS,,
11568,63412,GridRulesBasicOnly_0,7,success,insight,correct,TRANS_ABC_TRUE,,
63412,47556,GridRulesBasicOnly_0,8,success,insight,correct,CROSS_OUT,,
47556,47556,GridRulesBasicOnly_0,9,success,insight,correct,CROSS_OUT,,
47556,47556,GridRulesBasicOnly_0,10,success,insight,correct,CROSS_OUT,,
47556,47556,GridRulesBasicOnly_0,11,success,insight,correct,CROSS_OUT,,
47556,69937,GridRulesBasicOnly_0,12,success,unknown-correct,correct,,,
69937,47556,GridRulesBasicOnly_0,13,success,insight,correct,CROSS_OUT,,
47556,20431,GridRulesBasicOnly_0,14,success,insight,correct,APPLY_BEFORE_ONE_SPOT,,
20431,89249,GridRulesBasicOnly_0,15,success,insight,correct,CROSS_OUT,,
89249,89249,GridRulesBasicOnly_0,16,success,insight,correct,CROSS_OUT,,
89249,89249,GridRulesBasicOnly_0,17,success,insight,correct,CROSS_OUT,,
89249,89249,GridRulesBasicOnly_0,18,success,insight,correct,CROSS_OUT,,
89249,20431,GridRulesBasicOnly_0,19,success,insight,correct,TRANS_ABC_TRUE,,
20431,89249,GridRulesBasicOnly_0,20,success,insight,correct,CROSS_OUT,,
