Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
86218,27721,RandomProb,0,failure,unknown-incorrect,incorrect,,,
27721,27721,RandomProb,1,failure,unknown-incorrect,incorrect,,,
27721,27721,RandomProb,2,failure,unknown-correct,correct,,,
27721,27721,RandomProb,3,failure,unknown-correct,correct,,,
27721,27721,RandomProb,4,failure,unknown-correct,correct,,,
27721,27721,RandomProb,5,failure,unknown-incorrect,incorrect,,,
27721,62135,RandomProb,6,failure,insight,incorrect,BEFORE_N_SPOTS_SHIFT,,
62135,76959,RandomProb,7,failure,unknown-incorrect,incorrect,,,
76959,76959,RandomProb,8,failure,unknown-correct,correct,,,
76959,76959,RandomProb,9,failure,unknown-incorrect,incorrect,,,
76959,76959,RandomProb,10,failure,unknown-correct,correct,,,
76959,40105,RandomProb,11,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
40105,40105,RandomProb,12,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
40105,11584,RandomProb,13,failure,insight,incorrect,OPENING,,
11584,25944,RandomProb,14,failure,insight,correct,CROSS_OUT,,
25944,11584,RandomProb,15,failure,insight,incorrect,OPENING,,
11584,32434,RandomProb,16,failure,,,,,
88161,40354,RandomProb,0,failure,unknown-correct,correct,,,
40354,40354,RandomProb,1,failure,unknown-correct,correct,,,
40354,40354,RandomProb,2,failure,unknown-correct,correct,,,
40354,40354,RandomProb,3,failure,unknown-correct,correct,,,
40354,19808,RandomProb,4,failure,insight,correct,BEFORE_N_SPOTS_SHIFT,,
19808,40141,RandomProb,5,failure,unknown-incorrect,incorrect,,,
40141,40141,RandomProb,6,failure,unknown-correct,correct,,,
40141,99816,RandomProb,7,failure,insight,incorrect,OPENING,,
99816,40141,RandomProb,8,failure,unknown-correct,correct,,,
40141,40141,RandomProb,9,failure,unknown-correct,correct,,,
40141,65418,RandomProb,10,failure,insight,correct,CROSS_OUT,,
65418,40141,RandomProb,11,failure,unknown-incorrect,incorrect,,,
40141,49977,RandomProb,12,failure,insight,incorrect,BEFORE_N_SPOTS_SHIFT,,
49977,39422,RandomProb,13,failure,insight,correct,OPENING,,
39422,39422,RandomProb,14,failure,insight,incorrect,OPENING,,
39422,40141,RandomProb,15,failure,unknown-correct,correct,,,
40141,79208,RandomProb,16,failure,,,,,
23536,41225,RandomProb,0,failure,unknown-correct,correct,,,
41225,99643,RandomProb,1,failure,unknown-incorrect,incorrect,,,
99643,99643,RandomProb,2,failure,unknown-incorrect,incorrect,,,
99643,99643,RandomProb,3,failure,unknown-correct,correct,,,
99643,99643,RandomProb,4,failure,unknown-incorrect,incorrect,,,
99643,99643,RandomProb,5,failure,unknown-correct,correct,,,
99643,99643,RandomProb,6,failure,unknown-correct,correct,,,
99643,94347,RandomProb,7,failure,insight,incorrect,OPENING,,
94347,36432,RandomProb,8,failure,insight,correct,BEFORE_NOINFO,,
36432,20855,RandomProb,9,failure,unknown-correct,correct,,,
20855,93966,RandomProb,10,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
93966,58026,RandomProb,11,failure,unknown-correct,correct,,,
58026,62665,RandomProb,12,failure,insight,incorrect,CROSS_OUT,,
62665,62665,RandomProb,13,failure,insight,incorrect,CROSS_OUT,,
62665,62665,RandomProb,14,failure,insight,correct,CROSS_OUT,,
62665,93966,RandomProb,15,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
93966,16444,RandomProb,16,failure,,,,,
96300,70118,RandomProb,0,failure,unknown-incorrect,incorrect,,,
70118,84828,RandomProb,1,failure,insight,correct,BEFORE_NOINFO,,
84828,85130,RandomProb,2,failure,unknown-correct,correct,,,
85130,63679,RandomProb,3,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
63679,23866,RandomProb,4,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
23866,38171,RandomProb,5,failure,unknown-correct,correct,,,
38171,38171,RandomProb,6,failure,unknown-incorrect,incorrect,,,
38171,38171,RandomProb,7,failure,unknown-correct,correct,,,
38171,38171,RandomProb,8,failure,unknown-incorrect,incorrect,,,
38171,65753,RandomProb,9,failure,insight,correct,CROSS_OUT,,
65753,38171,RandomProb,10,failure,unknown-incorrect,incorrect,,,
38171,38171,RandomProb,11,failure,unknown-incorrect,incorrect,,,
38171,23866,RandomProb,12,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
23866,65753,RandomProb,13,failure,insight,correct,CROSS_OUT,,
65753,65753,RandomProb,14,failure,insight,correct,CROSS_OUT,,
65753,87110,RandomProb,15,failure,insight,correct,OPENING,,
87110,90486,RandomProb,16,failure,,,,,
52942,18219,RandomProb,0,failure,unknown-correct,correct,,,
18219,90571,RandomProb,1,failure,insight,correct,BEFORE_NOINFO,,
90571,63254,RandomProb,2,failure,unknown-correct,correct,,,
63254,46639,RandomProb,3,failure,unknown-incorrect,incorrect,,,
46639,46639,RandomProb,4,failure,unknown-correct,correct,,,
46639,46639,RandomProb,5,failure,unknown-correct,correct,,,
46639,46639,RandomProb,6,failure,unknown-incorrect,incorrect,,,
46639,46639,RandomProb,7,failure,unknown-correct,correct,,,
46639,65263,RandomProb,8,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
65263,86750,RandomProb,9,failure,unknown-incorrect,incorrect,,,
86750,77901,RandomProb,10,failure,insight,incorrect,CROSS_OUT,,
77901,86750,RandomProb,11,failure,unknown-correct,correct,,,
86750,86750,RandomProb,12,failure,unknown-correct,correct,,,
86750,44780,RandomProb,13,failure,insight,incorrect,OPENING,,
44780,86750,RandomProb,14,failure,unknown-correct,correct,,,
86750,86750,RandomProb,15,failure,unknown-incorrect,incorrect,,,
86750,98966,RandomProb,16,failure,,,,,
47851,15897,RandomProb,0,failure,unknown-correct,correct,,,
15897,15897,RandomProb,1,failure,unknown-correct,correct,,,
15897,15897,RandomProb,2,failure,unknown-correct,correct,,,
15897,15897,RandomProb,3,failure,unknown-correct,correct,,,
15897,15897,RandomProb,4,failure,unknown-correct,correct,,,
15897,15897,RandomProb,5,failure,unknown-correct,correct,,,
15897,15897,RandomProb,6,failure,unknown-correct,correct,,,
15897,46294,RandomProb,7,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
46294,75274,RandomProb,8,failure,unknown-correct,correct,,,
75274,10827,RandomProb,9,failure,insight,correct,APPLY_IS,,
10827,93757,RandomProb,10,failure,insight,correct,OPENING,,
93757,23644,RandomProb,11,failure,insight,correct,CROSS_OUT,,
23644,27732,RandomProb,12,failure,unknown-incorrect,incorrect,,,
27732,78298,RandomProb,13,failure,insight,incorrect,CROSS_OUT,,
78298,78298,RandomProb,14,failure,insight,correct,CROSS_OUT,,
78298,27732,RandomProb,15,failure,unknown-incorrect,incorrect,,,
27732,20210,RandomProb,16,failure,,,,,
10225,93422,RandomProb,0,failure,unknown-incorrect,incorrect,,,
93422,93422,RandomProb,1,failure,unknown-correct,correct,,,
93422,93422,RandomProb,2,failure,unknown-incorrect,incorrect,,,
93422,73699,RandomProb,3,failure,insight,correct,APPLY_IS,,
