Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
91231,88484,RandomProb,0,failure,unknown-incorrect,incorrect,,,
88484,88484,RandomProb,1,failure,unknown-incorrect,incorrect,,,
88484,88484,RandomProb,2,failure,unknown-correct,correct,,,
88484,72146,RandomProb,3,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
72146,68633,RandomProb,4,failure,unknown-correct,correct,,,
68633,68633,RandomProb,5,failure,unknown-incorrect,incorrect,,,
68633,25716,RandomProb,6,failure,insight,incorrect,BEFORE_N_SPOTS_SHIFT,,
25716,70077,RandomProb,7,failure,insight,incorrect,CROSS_OUT,,
70077,70077,RandomProb,8,failure,insight,correct,CROSS_OUT,,
70077,98023,RandomProb,9,failure,unknown-incorrect,incorrect,,,
98023,70077,RandomProb,10,failure,insight,correct,CROSS_OUT,,
70077,25716,RandomProb,11,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
25716,25716,RandomProb,12,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
25716,20045,RandomProb,13,failure,insight,incorrect,OPENING,,
20045,70077,RandomProb,14,failure,insight,correct,CROSS_OUT,,
70077,20045,RandomProb,15,failure,insight,incorrect,OPENING,,
20045,15116,RandomProb,16,failure,,,,,
57827,23401,RandomProb,0,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
23401,51479,RandomProb,1,failure,unknown-correct,correct,,,
51479,51479,RandomProb,2,failure,unknown-correct,correct,,,
51479,51479,RandomProb,3,failure,unknown-correct,correct,,,
51479,30505,RandomProb,4,failure,insight,correct,CROSS_OUT,,
30505,80056,RandomProb,5,failure,unknown-incorrect,incorrect,,,
80056,80056,RandomProb,6,failure,unknown-correct,correct,,,
80056,91892,RandomProb,7,failure,insight,incorrect,OPENING,,
91892,85693,RandomProb,8,failure,insight,correct,CROSS_OUT,,
85693,85693,RandomProb,9,failure,insight,correct,CROSS_OUT,,
85693,85693,RandomProb,10,failure,insight,correct,CROSS_OUT,,
85693,80056,RandomProb,11,failure,unknown-incorrect,incorrect,,,
80056,59591,RandomProb,12,failure,insight,incorrect,BEFORE_N_SPOTS_SHIFT,,
59591,66151,RandomProb,13,failure,insight,correct,OPENING,,
66151,66151,RandomProb,14,failure,insight,incorrect,OPENING,,
66151,90869,RandomProb,15,failure,unknown-correct,correct,,,
90869,96794,RandomProb,16,failure,,,,,
14344,53831,RandomProb,0,failure,unknown-correct,correct,,,
53831,28871,RandomProb,1,failure,unknown-incorrect,incorrect,,,
28871,28871,RandomProb,2,failure,unknown-incorrect,incorrect,,,
28871,72665,RandomProb,3,failure,insight,correct,CROSS_OUT,,
72665,72665,RandomProb,4,failure,insight,incorrect,CROSS_OUT,,
72665,72665,RandomProb,5,failure,insight,correct,CROSS_OUT,,
72665,36240,RandomProb,6,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
36240,85287,RandomProb,7,failure,insight,incorrect,OPENING,,
85287,85191,RandomProb,8,failure,insight,correct,CROSS_OUT,,
85191,85191,RandomProb,9,failure,insight,correct,CROSS_OUT,,
85191,85191,RandomProb,10,failure,insight,correct,CROSS_OUT,,
85191,85658,RandomProb,11,failure,unknown-correct,correct,,,
85658,85191,RandomProb,12,failure,insight,incorrect,CROSS_OUT,,
85191,85191,RandomProb,13,failure,insight,incorrect,CROSS_OUT,,
85191,85191,RandomProb,14,failure,insight,correct,CROSS_OUT,,
85191,24629,RandomProb,15,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
24629,64795,RandomProb,16,failure,,,,,
97697,98684,RandomProb,0,failure,unknown-incorrect,incorrect,,,
98684,33204,RandomProb,1,failure,insight,correct,BEFORE_NOINFO,,
33204,77468,RandomProb,2,failure,unknown-correct,correct,,,
77468,13718,RandomProb,3,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
13718,11252,RandomProb,4,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
11252,12121,RandomProb,5,failure,unknown-correct,correct,,,
12121,12121,RandomProb,6,failure,unknown-incorrect,incorrect,,,
12121,12121,RandomProb,7,failure,unknown-correct,correct,,,
12121,12121,RandomProb,8,failure,unknown-incorrect,incorrect,,,
12121,71463,RandomProb,9,failure,insight,correct,CROSS_OUT,,
71463,71463,RandomProb,10,failure,insight,incorrect,CROSS_OUT,,
71463,71463,RandomProb,11,failure,insight,incorrect,CROSS_OUT,,
71463,11252,RandomProb,12,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
11252,71463,RandomProb,13,failure,insight,correct,CROSS_OUT,,
71463,71463,RandomProb,14,failure,insight,correct,CROSS_OUT,,
71463,61175,RandomProb,15,failure,insight,correct,OPENING,,
61175,73637,RandomProb,16,failure,,,,,
