Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
34750,71492,RandomCorrect,0,failure,unknown-correct,correct,,,
71492,71492,RandomCorrect,1,failure,unknown-correct,correct,,,
71492,71492,RandomCorrect,2,failure,unknown-correct,correct,,,
71492,93314,RandomCorrect,3,failure,insight,correct,BEFORE_NOINFO,,
93314,65478,RandomCorrect,4,failure,unknown-correct,correct,,,
65478,80809,RandomCorrect,5,failure,insight,correct,APPLY_OR,,
80809,97556,RandomCorrect,6,failure,unknown-correct,correct,,,
97556,97556,RandomCorrect,7,failure,unknown-correct,correct,,,
97556,55200,RandomCorrect,8,failure,insight,correct,APPLY_IS,,
55200,56846,RandomCorrect,9,failure,unknown-correct,correct,,,
56846,56846,RandomCorrect,10,failure,unknown-correct,correct,,,
56846,92481,RandomCorrect,11,failure,insight,correct,CROSS_OUT,,
92481,92481,RandomCorrect,12,failure,insight,correct,CROSS_OUT,,
92481,91038,RandomCorrect,13,failure,insight,correct,OPENING,,
91038,92481,RandomCorrect,14,failure,insight,correct,CROSS_OUT,,
92481,92481,RandomCorrect,15,failure,insight,correct,CROSS_OUT,,
92481,79639,RandomCorrect,16,failure,,,,,
92357,95344,RandomCorrect,0,failure,unknown-correct,correct,,,
95344,95344,RandomCorrect,1,failure,unknown-correct,correct,,,
95344,95344,RandomCorrect,2,failure,unknown-correct,correct,,,
95344,95344,RandomCorrect,3,failure,unknown-correct,correct,,,
95344,95344,RandomCorrect,4,failure,unknown-correct,correct,,,
95344,95344,RandomCorrect,5,failure,unknown-correct,correct,,,
95344,20854,RandomCorrect,6,failure,insight,correct,OPENING,,
20854,38853,RandomCorrect,7,failure,insight,correct,CROSS_OUT,,
38853,38853,RandomCorrect,8,failure,insight,correct,CROSS_OUT,,
38853,38853,RandomCorrect,9,failure,insight,correct,CROSS_OUT,,
38853,76105,RandomCorrect,10,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
76105,76105,RandomCorrect,11,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
76105,76105,RandomCorrect,12,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
76105,62425,RandomCorrect,13,failure,insight,correct,CROSS_OUT,,
62425,26549,RandomCorrect,14,failure,insight,correct,OPENING,,
26549,62425,RandomCorrect,15,failure,insight,correct,CROSS_OUT,,
62425,67969,RandomCorrect,16,failure,,,,,
56767,23249,RandomCorrect,0,failure,unknown-correct,correct,,,
23249,23249,RandomCorrect,1,failure,unknown-correct,correct,,,
23249,23249,RandomCorrect,2,failure,unknown-correct,correct,,,
23249,23249,RandomCorrect,3,failure,unknown-correct,correct,,,
23249,23249,RandomCorrect,4,failure,unknown-correct,correct,,,
23249,23249,RandomCorrect,5,failure,unknown-correct,correct,,,
