Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
10438,28796,RandomCorrect,0,failure,unknown-correct,correct,,,
28796,28796,RandomCorrect,1,failure,unknown-correct,correct,,,
28796,28796,RandomCorrect,2,failure,unknown-correct,correct,,,
28796,28796,RandomCorrect,3,failure,unknown-correct,correct,,,
28796,18752,RandomCorrect,4,failure,insight,correct,OPENING,,
18752,24092,RandomCorrect,5,failure,insight,correct,OPENING,,
24092,60833,RandomCorrect,6,failure,insight,correct,CROSS_OUT,,
60833,60833,RandomCorrect,7,failure,insight,correct,CROSS_OUT,,
60833,60833,RandomCorrect,8,failure,insight,correct,CROSS_OUT,,
60833,20469,RandomCorrect,9,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
20469,92867,RandomCorrect,10,failure,unknown-correct,correct,,,
92867,19499,RandomCorrect,11,failure,insight,correct,APPLY_IS,,
19499,42148,RandomCorrect,12,failure,insight,correct,CROSS_OUT,,
42148,42148,RandomCorrect,13,failure,insight,correct,CROSS_OUT,,
42148,42148,RandomCorrect,14,failure,insight,correct,CROSS_OUT,,
42148,38547,RandomCorrect,15,failure,insight,correct,OPENING,,
38547,60816,RandomCorrect,16,failure,,,,,
51108,64016,RandomCorrect,0,failure,unknown-correct,correct,,,
64016,46662,RandomCorrect,1,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
46662,52886,RandomCorrect,2,failure,unknown-correct,correct,,,
52886,46662,RandomCorrect,3,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
46662,52886,RandomCorrect,4,failure,unknown-correct,correct,,,
52886,67289,RandomCorrect,5,failure,insight,correct,CROSS_OUT,,
67289,67289,RandomCorrect,6,failure,insight,correct,CROSS_OUT,,
67289,67289,RandomCorrect,7,failure,insight,correct,CROSS_OUT,,
67289,91142,RandomCorrect,8,failure,insight,correct,OPENING,,
91142,76296,RandomCorrect,9,failure,insight,correct,OPENING,,
76296,67289,RandomCorrect,10,failure,insight,correct,CROSS_OUT,,
67289,67289,RandomCorrect,11,failure,insight,correct,CROSS_OUT,,
67289,67289,RandomCorrect,12,failure,insight,correct,CROSS_OUT,,
67289,67289,RandomCorrect,13,failure,insight,correct,CROSS_OUT,,
67289,67289,RandomCorrect,14,failure,insight,correct,CROSS_OUT,,
67289,76296,RandomCorrect,15,failure,insight,correct,OPENING,,
76296,61119,RandomCorrect,16,failure,,,,,
57747,52592,RandomCorrect,0,failure,unknown-correct,correct,,,
52592,52592,RandomCorrect,1,failure,unknown-correct,correct,,,
52592,52592,RandomCorrect,2,failure,unknown-correct,correct,,,
52592,18500,RandomCorrect,3,failure,insight,correct,BEFORE_N_SPOTS_SHIFT,,
18500,73976,RandomCorrect,4,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
73976,25917,RandomCorrect,5,failure,unknown-correct,correct,,,
25917,64248,RandomCorrect,6,failure,insight,correct,CROSS_OUT,,
64248,25917,RandomCorrect,7,failure,unknown-correct,correct,,,
25917,42063,RandomCorrect,8,failure,insight,correct,OPENING,,
