Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
20145,75664,e1_kf,0,success,insight,correct,APPLY_IS,,
75664,91027,e1_kf,1,success,insight,correct,APPLY_OR,,
91027,10278,e1_kf,2,success,insight,correct,APPLY_BEFORE_N_SPOTS,,
10278,63134,e1_kf,3,success,insight,correct,OPENING,,
63134,28405,e1_kf,4,success,,,,,
54023,29380,e1_kf,0,success,insight,correct,SIMPLE_OR_SAME_CAT,,
29380,95321,e1_kf,1,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
95321,95321,e1_kf,2,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
95321,77241,e1_kf,3,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
77241,77241,e1_kf,4,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
77241,59157,e1_kf,5,success,insight,correct,OPENING,,
59157,54302,e1_kf,6,success,insight,correct,CROSS_OUT,,
54302,54302,e1_kf,7,success,insight,correct,CROSS_OUT,,
54302,54302,e1_kf,8,success,insight,correct,CROSS_OUT,,
54302,72591,e1_kf,9,success,insight,correct,OPENING,,
72591,92785,e1_kf,10,success,insight,correct,OPENING,,
92785,92785,e1_kf,11,success,insight,correct,OPENING,,
92785,40578,e1_kf,12,success,,,,,
64024,53573,e1_kf,0,success,insight,correct,APPLY_IS,,
53573,56077,e1_kf,1,success,insight,correct,CROSS_OUT,,
56077,56077,e1_kf,2,success,insight,correct,CROSS_OUT,,
56077,56077,e1_kf,3,success,insight,correct,CROSS_OUT,,
56077,56077,e1_kf,4,success,insight,correct,CROSS_OUT,,
56077,56077,e1_kf,5,success,insight,correct,CROSS_OUT,,
56077,56077,e1_kf,6,success,insight,correct,CROSS_OUT,,
56077,10531,e1_kf,7,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
10531,26278,e1_kf,8,success,insight,correct,OPENING,,
26278,20769,e1_kf,9,success,insight,correct,CROSS_OUT,,
20769,20769,e1_kf,10,success,insight,correct,CROSS_OUT,,
20769,92760,e1_kf,11,success,insight,correct,OPENING,,
92760,88314,e1_kf,12,success,insight,correct,OPENING,,
88314,74614,e1_kf,13,success,,,,,
64541,64346,e1_kf,0,success,insight,correct,APPLY_IS,,
64346,91645,e1_kf,1,success,insight,correct,CROSS_OUT,,
